chrom	chrompos	cn.ratio	copy.number
chr4	1	11.518553592343	5
chr4	90501	5.64887761650793	5
chr4	145220	4.03160914494876	5
chr4	209519	5.00585186062609	5
chr4	268944	4.87409649172901	5
chr4	330272	4.60536822504078	5
chr4	394075	5.09273885927971	5
chr4	460273	5.40519996562263	5
chr4	519695	6.23591182600549	5
chr4	576021	7.05120342478316	5
chr4	633056	7.34155415148683	5
chr4	688288	5.42184526804573	5
chr4	750693	6.62652153140577	5
chr4	808254	7.6601771020721	5
chr4	862780	4.61538800457762	5
chr4	916595	4.55264713356598	5
chr4	973377	5.9462331310159	5
chr4	1026581	6.95774932462352	5
chr4	1081289	7.47850028653981	5
chr4	1137165	4.43633601885806	5
chr4	1193240	9.21270662936443	5
chr4	1245543	8.18001434633389	5
chr4	1303418	7.00415014400932	5
chr4	1358317	5.37129591807507	5
chr4	1411529	6.17728898080514	5
chr4	1521486	7.82359645418321	5
chr4	1576818	8.51157405265165	5
chr4	1630829	5.65372598209986	5
chr4	1688166	5.61231611817045	5
chr4	1746143	7.36027750862671	5
chr4	1797530	5.25181965342537	5
chr4	1854450	5.50663676263994	5
chr4	1911750	4.65323093458882	5
chr4	1967686	5.80384127620887	5
chr4	2025931	3.64441401997491	5
chr4	2082452	6.13623235119473	5
chr4	2138399	4.06054696227589	5
chr4	2195171	4.55992559240249	5
chr4	2251654	5.29634153139418	5
chr4	2303445	5.14148988781118	5
chr4	2358216	6.19362427342833	5
chr4	2413616	4.11131026998359	5
chr4	2468628	4.32272317031048	5
chr4	2533684	4.86908947055893	5
chr4	2595649	4.56227767810968	5
chr4	2655054	7.21018393362039	5
chr4	2710829	4.02775967516947	5
chr4	2770149	6.10084362297256	5
chr4	2825736	4.79291585666547	5
chr4	2880803	4.1066889862847	5
chr4	2938890	3.95317705309284	5
chr4	2995589	6.80117553338165	5
chr4	3053819	4.50473585786554	5
chr4	3112956	4.66084323444573	5
chr4	3171841	5.07708960816844	5
chr4	3224575	4.20380272026532	5
chr4	3278007	5.27379053473379	5
chr4	3331076	5.17645667851066	5
chr4	3383811	4.97754845190774	5
chr4	3435906	5.48006584836065	5
chr4	3489585	3.42882836412062	5
chr4	3555356	9.65855345193632	5
chr4	3618075	6.29879972026221	5
chr4	3668818	6.34091513334509	5
chr4	3719659	7.71012934480764	5
chr4	3770687	4.06800119813068	5
chr4	3821706	6.93768764785696	5
chr4	3872443	3.35944847644336	5
chr4	3978597	6.15800431142058	5
chr4	4124034	5.44290826926639	5
chr4	4214231	5.98497951110904	5
chr4	4276749	3.71667181767749	5
chr4	4330823	5.43026133124847	5
chr4	4388089	4.79191442761913	5
chr4	4440904	5.56566489860189	5
chr4	4493059	5.05353497395635	5
chr4	4544671	5.26707428628054	5
chr4	4600023	5.38661599903139	5
chr4	4655656	5.46190928753208	5
chr4	4709461	6.15993526829405	5
chr4	4760097	5.618549199338	5
chr4	4811434	5.43926233423539	5
chr4	4864477	5.31986258265929	5
chr4	4916459	5.59473844494713	5
chr4	4977745	5.48403686530374	5
chr4	5032299	5.51501758108808	5
chr4	5086783	6.54683270838154	5
chr4	5139436	5.00451188328368	5
chr4	5196472	4.76401912162355	5
chr4	5254365	9.47107388878661	5
chr4	5314698	5.16614816438142	5
chr4	5371100	5.67273054483897	5
chr4	5422542	4.96038830743727	5
chr4	5480766	6.92622536294827	5
chr4	5549102	5.64895418129073	5
chr4	5607588	5.22459504471141	5
chr4	5659763	5.24674660781679	5
chr4	5712380	6.90144823180195	5
chr4	5772524	5.34799681967637	5
chr4	5827664	6.1968292948085	5
chr4	5880854	4.44103650386992	5
chr4	5932312	4.09742199182655	5
chr4	5985348	4.21200467818402	5
chr4	6037434	6.38424029972861	5
chr4	6091111	5.75548631118017	5
chr4	6145248	5.5766975816099	5
chr4	6197390	5.91693409451445	5
chr4	6250039	7.40208261403384	5
chr4	6302287	4.74093097388667	5
chr4	6354616	4.76767216493018	5
chr4	6407181	4.75206497490927	5
chr4	6458526	5.20333621733187	5
chr4	6510005	5.96058743874045	5
chr4	6563813	5.89378815650681	5
chr4	6616573	5.28356278823185	5
